Env_Chitala Env_Chitedze Env_Nakabango Env_Serere
184.0681 -27.24921 -102.0293 -48.7248
180.7169 -27.16027 -111.7771 -47.09412
181.3588 -31.9615 -108.768 -53.05522
180.4464 -31.06094 -99.96384 -45.84849
179.4788 -27.27185 -108.0013 -48.06488
174.8911 -36.51925 -107.2267 -56.4355
179.6305 -35.95263 -107.157 -49.39334
179.2834 -33.60077 -102.7335 -49.06675
177.2094 -41.45239 -101.711 -51.73511
175.4144 -40.64294 -119.5859 -56.86757
160.1582 -53.55838 -122.9805 -62.59506
150.5959 -57.75486 -126.4045 -70.57512
166.7465 -51.25436 -110.591 -63.86832
158.0144 -52.72114 -119.6654 -62.66808
156.4983 -48.81238 -122.2982 -67.69843
169.8783 -47.07086 -107.595 -59.35094
178.1449 -34.18046 -113.6906 -53.67008
179.1805 -28.14603 -105.628 -48.59084
185.9607 -34.46506 -95.77654 -44.66578
186.0425 -30.54112 -100.9884 -45.71823
186.0782 -23.69804 -90.30531 -42.31076
198.0195 -21.66693 -96.70694 -40.07427
184.3647 -21.96437 -95.52599 -41.52316
199.5194 -19.4147 -89.06759 -41.85574
195.5234 -15.09419 -88.66789 -40.13109
185.1418 -19.40278 -92.58535 -47.72998
188.392 -26.985 -94.26347 -43.51938
192.1521 -25.58219 -97.76732 -47.21891
201.392 -7.802405 -87.00282 -27.17988
210.1633 -3.984512 -83.18638 -31.94682
197.024 -21.12585 -84.90677 -30.26994
196.7706 -16.14896 -85.5782 -33.97162
194.8703 -17.47122 -98.62576 -31.46807
191.0587 -23.28431 -99.18178 -39.37997
203.1251 -10.3191 -79.2979 -35.55573
191.2844 -17.00837 -96.77565 -39.99678
189.2718 -29.50042 -97.14729 -46.78527
199.3875 -11.97126 -83.63792 -27.14609
203.2244 -9.041725 -85.72719 -35.10741
206.2852 -2.064655 -85.65633 -14.951
217.3982 7.671377 -65.46028 -8.753962
225.6175 13.67509 -53.97295 -7.239555
241.2247 34.77843 -39.21663 12.41679
257.5574 47.89468 -30.8299 21.19543
262.9831 52.63186 -22.55459 28.30537
268.7498 50.66775 -21.53345 32.25551
269.2442 54.40338 -14.51888 44.45114
270.1299 56.7195 -20.28985 31.70309
278.8518 69.13036 -9.763014 36.12419
273.0516 58.4258 -19.54961 38.19494
266.8688 57.72994 -19.3022 42.29314
263.5181 41.4935 -21.64127 26.82613
269.9242 54.4165 -15.95806 34.1366
281.3016 62.54638 0.8036649 51.31351
284.5806 73.12355 -8.546907 51.46377
271.3479 69.58469 -19.08834 44.06916
265.223 56.86521 -21.31623 37.00308
266.3484 47.91626 -27.23856 28.99096
256.3362 39.31004 -30.39725 23.84193
250.6688 47.24846 -31.06817 26.52497
256.4414 41.81011 -29.23881 21.91678
250.7956 37.36786 -25.39115 16.8174
254.2243 38.41558 -35.39909 26.60041
248.8352 36.00933 -34.21523 16.49824
268.1519 57.44311 -22.55414 26.00338
253.0378 37.72547 -35.36768 27.45686
262.7033 50.2783 -27.90241 34.23379
254.1219 33.01413 -32.95126 15.9823
249.0785 34.84086 -39.76487 20.56934
244.1577 25.24451 -46.90439 6.110141
249.2009 34.98237 -33.73067 12.04983
244.4924 24.12334 -51.06179 15.81872
235.0453 19.98501 -54.68868 4.232361
238.648 31.95011 -44.84445 11.24144
254.031 37.74806 -36.21261 21.13862
252.2844 36.81816 -38.78456 20.72061
254.1033 40.64319 -24.47583 25.23356
256.3889 38.69202 -33.62564 20.46381
