EID,Env,genotype,pod_yield_g,sh_pc,sw_g,X100_sw,uid
1,Chitala,ICGV.SM.10021,299.3008146,62.32234097,196.6375521,54.22204977,66
1,Chitala,ICGV.SM.10028,373.6283919,60.03897845,232.5991962,37.91877352,67
1,Chitala,ICGV.SM.10031,210.8134307,60.57270558,122.6358149,40.67109419,68
1,Chitala,ICGV.SM.10043,244.1343445,67.30986559,160.5641573,32.67676608,69
1,Chitala,ICGV.SM.10044,167.91252,58.91612442,98.04884821,35.39583037,70
1,Chitala,ICGV.SM.15514,348.0762777,59.78871195,222.7783178,33.59255146,71
1,Chitala,ICGV.SM.15523,374.3766919,66.60304287,248.8419079,45.48830182,72
1,Chitala,ICGV.SM.15537,410.7707475,59.30982022,243.4887432,31.67256077,73
1,Chitala,ICGV.SM.15538,360.8784708,60.96629715,227.9517632,38.65929317,74
1,Chitala,ICGV.SM.15542,436.4805105,70.61555111,310.3120059,31.31348743,75
1,Chitala,ICGV.SM.15554,408.2214029,67.53668299,274.4987206,37.74581838,76
1,Chitala,ICGV.SM.15557,509.4936468,70.61841878,362.7157013,32.37776052,77
1,Chitala,ICGV.SM.15559,516.769103,71.48335075,381.3480393,33.94565846,78
1,Chitala,ICGV.SM.15562,342.075973,66.83502525,225.0556193,30.31759148,79
1,Chitala,ICGV.SM.15564,439.616273,67.53220502,298.7287483,35.7214467,80
1,Chitala,ICGV.SM.15567,442.075426,64.45033402,297.926948,36.27935573,81
1,Chitala,ICGV.SM.15575,434.3997591,67.61226315,303.2771727,46.92769296,82
1,Chitala,ICGV.SM.15576,413.8953694,68.85115835,294.1476252,47.40833121,83
1,Chitala,ICGV.SM.15578,370.247184,63.50620631,249.9126064,39.52324785,84
1,Chitala,ICGV.SM.15579,311.0230511,58.92253292,200.252764,48.18897473,85
1,Chitala,ICGV.SM.15587,408.205444,61.00666276,278.1400182,50.58699841,86
1,Chitala,ICGV.SM.15592,342.2034363,55.41841664,204.0660081,47.01860515,87
1,Chitala,ICGV.SM.15593,330.9248709,62.50246863,223.8450359,46.0704581,88
1,Chitala,ICGV.SM.15598,350.7485557,66.25562874,231.9056305,47.43909269,89
1,Chitala,ICGV.SM.15607,253.9619267,52.95366305,148.3848259,37.14893232,90
1,Chitala,ICGV.SM.15611,391.0187854,64.57490499,252.4772501,47.2984632,91
1,Chitala,ICGV.SM.15621,398.4665543,70.59667488,280.589657,42.32569494,92
1,Chitala,ICGV.SM.15622,244.0308805,54.61387604,156.5329624,38.81703503,93
1,Chitala,ICGV.SM.15623,362.0632327,66.66118663,245.1737506,45.4679761,94
1,Chitala,ICGV.SM.15627,307.6665171,65.27657724,203.0923889,48.30567521,95
1,Chitala,ICGV.SM.15631,419.2363761,68.14438074,284.7612142,45.96483991,96
1,Chitala,ICGV.SM.16505,307.8240242,69.53413385,214.0674654,32.07726209,97
1,Chitala,ICGV.SM.16514,347.7963883,64.87637614,241.0990568,32.54262401,98
1,Chitala,ICGV.SM.16521,375.4170604,70.55117984,265.8426717,30.68368068,99
1,Chitala,ICGV.SM.16523,327.7067615,65.46918702,212.2900737,31.94927065,100
1,Chitala,ICGV.SM.16527,358.832004,65.32458102,238.5363813,31.5658843,101
1,Chitala,ICGV.SM.16528,403.57014,69.3310376,292.8802137,35.20480649,102
1,Chitala,ICGV.SM.16529,347.4670702,68.57506351,236.8459043,38.61071335,103
1,Chitala,ICGV.SM.16531,462.8367781,63.95678668,309.7734145,35.50583461,104
1,Chitala,ICGV.SM.16554,252.5951694,63.06661188,161.2736843,38.59319746,105
1,Chitala,ICGV.SM.16555,301.6899716,60.48631268,187.1462816,29.24946958,106
1,Chitala,ICGV.SM.16556,406.5041232,63.4748285,260.7433275,34.16826507,107
1,Chitala,ICGV.SM.16557,380.9312397,60.18233928,237.3216854,33.79058882,108
1,Chitala,ICGV.SM.16558,376.4159394,68.29829947,253.6795547,56.48871947,109
1,Chitala,ICGV.SM.16559,331.5427635,67.02205603,222.2722381,38.81433197,110
1,Chitala,ICGV.SM.16560,286.7289073,69.46542021,198.3273091,29.52681701,111
1,Chitala,ICGV.SM.16562,290.379945,63.75652471,201.5874008,39.83294554,112
1,Chitala,ICGV.SM.16563,370.5640624,65.64551713,241.2236954,52.08447894,113
1,Chitala,ICGV.SM.16565,327.8133165,68.91536065,232.1467348,33.0770063,114
1,Chitala,ICGV.SM.16567,337.5709997,70.81790001,236.3476559,31.34318489,115
1,Chitala,ICGV.SM.16568,408.9054181,68.34387886,285.6752311,36.62497741,116
1,Chitala,ICGV.SM.16571,380.578185,66.75081183,256.3880031,38.58332686,117
1,Chitala,ICGV.SM.16572,370.8163435,72.98026846,275.664009,33.0652511,118
1,Chitala,ICGV.SM.16575,424.4215674,67.86858484,287.7435235,37.7115516,119
1,Chitala,ICGV.SM.16576,333.8410016,65.6027594,219.2518131,40.01593381,120
1,Chitala,ICGV.SM.16577,286.0403109,75.38243573,209.4352743,30.86304449,121
1,Chitala,ICGV.SM.16578,345.5917029,69.41157043,233.0993615,36.60978341,122
1,Chitala,ICGV.SM.16579,378.9789068,70.62680207,273.894819,35.62969735,123
1,Chitala,ICGV.SM.16581,316.424642,74.7958963,226.8117293,31.44184943,124
1,Chitala,ICGV.SM.16584,336.3850936,65.72637313,224.5670726,35.99836362,125
1,Chitala,ICGV.SM.16586,314.8620761,61.17683001,198.745509,35.61133901,126
1,Chitala,ICGV.SM.16587,407.5096189,74.28137907,306.7572973,35.04963435,127
1,Chitala,ICGV.SM.16589,520.3107631,69.43763543,375.2185449,37.20798609,128
1,Chitala,ICGV.SM.16591,484.1479686,71.21800322,351.408044,37.84475073,129
1,Chitala,ICGV.SM.16592,375.9852636,59.24860685,233.6481646,37.45365332,130
1,Chitala,ICGV.SM.16596,590.5262986,55.46841425,333.83323,36.09090819,131
1,Chitala,ICGV.SM.16597,302.0651013,74.08612319,211.5105033,40.21917044,132
1,Chitala,ICGV.SM.16598,423.6440042,69.47002688,303.322623,37.38109184,133
1,Chitala,ICGV.SM.16600,385.0214272,65.42721778,247.8679429,30.45201597,134
1,Chitala,ICGV.SM.16601,437.029841,59.49544024,274.2924647,42.00401174,135
1,Chitala,ICGV.SM.16603,328.2690685,74.22487007,236.368101,29.7685399,136
1,Chitala,ICGV.SM.16605,228.2938062,62.96882593,143.8570344,29.49053576,137
1,Chitala,ICGV.SM.16609,434.9513195,76.5290501,330.3857736,28.59645308,138
1,Chitala,ICGV.SM.16611,352.1857881,70.60146033,245.8608069,33.00181816,139
1,Chitala,ICGV.SM.16613,467.9029677,71.78292531,337.7779622,37.57877613,140
1,Chitala,ICGV.SM.16614,305.4499434,67.17917087,203.7402797,37.16994482,141
1,Chitala,ICGV.SM.16615,477.6076442,69.75670951,341.8693319,34.00016656,142
1,Chitala,ICGV.SM.16616,309.666604,63.5046129,198.0761183,43.15384823,143
1,Chitala,ICGV.SM.16617,471.2864614,70.81602352,334.1930772,37.6587292,144
1,Chitala,ICGV.SM.16618,420.7751509,71.60974679,301.0028208,37.51932814,145
1,Chitala,ICGV.SM.16619,316.9444402,69.21271826,217.4136038,34.35495019,146
1,Chitala,ICGV.SM.16621,324.5613779,71.34829053,229.6013422,34.21842898,147
1,Chitala,ICGV.SM.16624,234.2413171,65.45145515,157.536797,35.15384463,148
1,Chitala,ICGV.SM.16625,325.4385811,58.65658046,197.7502753,43.72429172,149
1,Chitala,ICGV.SM.16626,320.2559118,51.33071845,176.47635,35.31369082,150
1,Chitala,ICGV.SM.16627,310.7911649,67.70946557,217.7190698,35.0708184,151
1,Chitala,ICGV.SM.16630,370.5720235,72.75786595,268.9001119,47.98114814,152
1,Chitala,ICGV.SM.16631,338.6594376,66.39760549,222.5778694,44.89147252,153
1,Chitala,ICGV.SM.16633,347.3658106,72.11335815,248.8359008,31.84736385,154
1,Chitala,ICGV.SM.16634,411.4829478,68.64154919,290.0892287,40.94502422,155
1,Chitala,ICGV.SM.16636,395.114007,50.73743558,223.0063781,52.45846347,156
1,Chitala,ICGV.SM.16637,540.1750368,67.15892235,372.2812049,40.63691588,157
1,Chitala,ICGV.SM.3520,234.2821483,62.89992387,154.7486363,32.13902067,158
1,Chitala,ICGV.SM.6519,186.0249955,67.84940751,119.6398049,33.42188632,159
1,Chitala,ICGV.SM.6525,205.3766085,39.20723721,114.4925827,29.39627988,160
1,Chitala,ICGV.SM.6637,203.4598085,60.12373335,126.6526003,44.4129447,161
1,Chitala,ICGV.SM.7599,404.6865459,67.89016618,278.4770409,50.07715852,162
1,Chitala,ICGV.SM.8501,244.823904,59.13621103,158.3727716,44.8500036,163
1,Chitala,ICGV.SM.8528,225.0693066,69.18500424,145.1609876,37.72263034,164
1,Chitala,ICGV.SM.8538,346.8485232,67.1737949,230.2722017,37.61162038,165
1,Chitala,ICGV.SM.8547,250.3540654,60.31222016,153.2597125,31.30461551,166
1,Chitala,ICGV.SM.90704,438.9009513,65.85670456,301.1079971,40.87500239,167
1,Chitala,ICGV.SM.95714,239.3333588,64.74252336,154.7985958,41.72540044,168
1,Chitala,ICGV.SM.99537,257.2015638,61.90579464,158.8149654,29.35604952,169
1,Chitala,ICGV.SM.99551,269.9158514,65.94434734,173.7991721,41.04967574,170
1,Chitala,ICGV.SM.99566,339.0763441,67.57534289,224.3794715,31.46588117,171
1,Chitala,ICGV.SM.99568,202.8288234,59.1740282,126.3154887,29.68260251,172
1,Chitala,ICGX.SM.14001.B.6.1.3.1.1,197.0506403,46.75239979,104.9729447,33.17847214,173
1,Chitala,ICGX.SM.14008.B.2.1.2.2.1.1,327.0476283,62.45508388,210.421185,34.46379975,174
1,Chitala,ICGX.SM.14008.B.3.1.1.5.1.1,377.813221,72.59930735,275.7293727,31.46876394,175
1,Chitala,ICGX.SM.14008.B.9.1.2.3.1.1,252.4794363,65.77146401,169.1035526,39.6940763,176
1,Chitala,ICGX.SM.14008.B.9.1.2.4.1.1,251.6103356,57.48489377,150.9871987,41.25999183,177
1,Chitala,ICGX.SM.14014.B.10.1.1.3.1.1,264.2267985,59.64155376,158.6222244,37.53631643,178
1,Chitala,ICGX.SM.14014.B.6.1.1.5.1.1,343.1549455,70.34270121,251.4900433,46.90022344,179
1,Chitala,ICGX.SM.14014.B.7.1.2.6.1.1,164.9260019,44.11288198,87.4044013,36.52184204,180
1,Chitala,ICGX.SM.14017.B.1.1.1.11.1.1,199.9114097,40.58547258,112.2553661,28.22721706,181
1,Chitala,ICGX.SM.14018.B.3.1.3.6.1.1,254.6521995,66.86531736,165.9196041,36.47842289,182
1,Chitala,ICGX.SM.14019.B.8.1.1.3.1,221.8497853,69.09864862,144.1306891,37.6602091,183
1,Chitala,ICGX.SM.14020.B.4.1.3.4.1.1,192.2596893,51.84976297,110.1547646,33.4316916,184
1,Chitala,ICGX.SM.14020.B.6.1.2.3.1.1,170.6796718,55.81497963,100.7714604,30.90598355,185
1,Chitala,ICGX.SM.14020.B.6.1.2.4.1.1,245.810054,63.13126337,152.6614514,37.44657074,186
1,Chitala,ICGX.SM.14021.B.13.1.1.2.1.1,276.6146527,51.24112282,147.9783109,31.70260466,187
1,Chitala,ICGX.SM.14025.B.13.1.1.3.1.1,281.9985409,69.7520292,193.3588587,44.05128366,188
1,Chitala,ICGX.SM.14025.B.17.1.1.6.1.1,341.5229338,59.70604941,215.9466314,35.41143567,189
1,Chitala,ICGX.SM.14026.B.3.1.1.6.1,283.0692437,70.6298778,198.2318395,40.14445219,190
1,Chitala,ICGX.SM.14033.B.6.1.1.3.1,225.7355559,62.54781829,140.6630317,34.41335588,191
1,Chitala,JL.24,330.822503,62.1110921,196.5925166,39.49808351,192
2,Chitedze,CG7,101.641525,33.67381083,34.67676606,36.07652653,193
2,Chitedze,CHALIMBANA,83.88301121,17.43380499,23.61180331,35.38858608,194
2,Chitedze,ICG.12991,104.3509157,34.34420602,41.3831916,21.89490481,195
2,Chitedze,ICG.13099,71.26654268,7.471486398,16.3154739,12.20103536,196
2,Chitedze,ICG.14466,76.70785631,3.846914887,16.69874863,20.21241565,197
2,Chitedze,ICG.405,80.66358762,40.08962091,25.78320148,20.23859193,198
2,Chitedze,ICG.6057,111.6984486,58.58831601,49.84349427,28.09395707,199
2,Chitedze,ICGIL.17101,96.15769239,7.758011532,20.72673936,22.34502378,200
2,Chitedze,ICGIL.17102,114.5622081,55.68630178,52.61845803,26.47420348,201
2,Chitedze,ICGIL.17105,98.5729886,9.848136869,26.52780124,24.41888726,202
2,Chitedze,ICGIL.17106,117.6803311,4.760726284,22.45519831,28.65383691,203
2,Chitedze,ICGIL.17107,105.8074048,12.34488882,34.39999886,23.70514996,204
2,Chitedze,ICGIL.17111,123.4134697,53.14005386,61.73380883,34.8551736,205
2,Chitedze,ICGIL.17112,101.2612648,5.138262787,26.03471209,20.3969027,206
2,Chitedze,ICGIL.17114,102.8420606,14.53760722,27.82150353,24.51280161,207
2,Chitedze,ICGIL.17116,103.8463856,69.31092605,49.7208565,29.35091341,208
2,Chitedze,ICGIL.17119,96.57199333,15.91397559,26.6237949,25.56949958,209
2,Chitedze,ICGIL.17121,71.75543771,40.66224903,23.96503297,24.90466506,210
2,Chitedze,ICGIL.17124,71.51230131,2.875996216,16.4024589,19.10958333,211
2,Chitedze,ICGIL.17126,76.57552203,38.08974883,26.01323218,27.60303243,212
2,Chitedze,ICGIL.17128,84.53535616,10.76836887,21.56760184,28.12573188,213
2,Chitedze,ICGV.00331,143.7365846,65.85709699,105.1501664,31.9349509,214
2,Chitedze,ICGV.01276,146.4937664,69.36756148,99.04176421,34.90802605,215
2,Chitedze,ICGV.02194,136.0449832,70.67925938,110.4725407,30.22149008,216
2,Chitedze,ICGV.02286,107.541623,6.160946025,28.76594161,20.20719955,217
2,Chitedze,ICGV.15074,82.42037406,22.07998491,23.77951039,20.89541651,218
2,Chitedze,ICGV.16013,80.23396388,13.23561952,21.77355626,20.25739524,219
2,Chitedze,ICGV.16019,90.27006563,22.04041627,31.76510354,27.56308867,220
2,Chitedze,ICGV.16669,98.97786535,30.15243942,32.14922521,28.11599434,221
2,Chitedze,ICGV.1706,105.7820693,75.99104735,64.26320108,40.14750185,222
2,Chitedze,ICGV.171015,107.4761415,40.63082678,47.29399961,33.84396773,223
2,Chitedze,ICGV.171025,101.8326681,17.10322075,33.2171912,33.87916624,224
2,Chitedze,ICGV.SM.01514,131.0909322,43.80534432,65.8153123,26.98984215,225
2,Chitedze,ICGV.SM.01709,179.7365473,62.75562561,115.9413594,31.69253744,226
2,Chitedze,ICGV.SM.01731,127.3661591,53.13346591,60.54313407,38.47785634,227
2,Chitedze,ICGV.SM.02724,117.2552799,29.02412211,49.56262018,36.09542306,228
2,Chitedze,ICGV.SM.03517,132.4047436,57.13984225,79.45407743,30.87419396,229
2,Chitedze,ICGV.SM.03519,129.0032364,50.22255056,68.801997,24.38218779,230
2,Chitedze,ICGV.SM.03708,119.1285511,28.66310685,38.35685951,30.94700786,231
2,Chitedze,ICGV.SM.03710,197.4034896,58.81135662,142.3894523,34.46443083,232
2,Chitedze,ICGV.SM.05521,91.26470373,57.56351235,46.36920928,32.15238683,233
2,Chitedze,ICGV.SM.05562,133.6692347,65.49217348,64.13601166,33.44093003,234
2,Chitedze,ICGV.SM.05693,83.57282483,11.8313018,25.49450011,23.27478276,235
2,Chitedze,ICGV.SM.05702,144.473554,59.78337837,102.9599776,34.01526454,236
2,Chitedze,ICGV.SM.05723,103.6190449,24.67814396,34.47542566,35.38019979,237
2,Chitedze,ICGV.SM.05738,129.2105321,61.44957741,85.33023309,35.5752936,238
2,Chitedze,ICGV.SM.06687,104.6503594,50.55539746,59.082308,25.22970043,239
2,Chitedze,ICGV.SM.06729,139.6776803,67.61541066,106.6816335,44.25128837,240
2,Chitedze,ICGV.SM.07501,102.1602433,33.7489789,38.51299111,29.436122,241
2,Chitedze,ICGV.SM.07510,95.73268291,62.25616813,54.95605964,26.29035086,242
2,Chitedze,ICGV.SM.07517,92.6581562,36.26410236,38.43840977,27.73585864,243
2,Chitedze,ICGV.SM.07520,160.5021857,60.47134412,123.9077825,25.14469104,244
2,Chitedze,ICGV.SM.07539,128.8850315,64.2340847,85.07090596,32.60326919,245
2,Chitedze,ICGV.SM.07540,134.784527,54.03264006,86.25218074,24.08289173,246
2,Chitedze,ICGV.SM.07541,97.12693901,62.84887511,60.92761611,28.80787248,247
2,Chitedze,ICGV.SM.07553,118.3225384,29.53756713,44.53364397,22.37196319,248
2,Chitedze,ICGV.SM.07593,93.60894068,45.19608943,42.76090206,28.07808874,249
2,Chitedze,ICGV.SM.08503,143.4725287,72.22569094,130.5491931,39.27237345,250
2,Chitedze,ICGV.SM.08533,126.4223577,71.92695367,79.01062911,25.53780492,251
2,Chitedze,ICGV.SM.08540,99.73877243,47.57745049,45.60842648,24.54783447,252
2,Chitedze,ICGV.SM.08577,83.60217472,11.48933506,23.12216216,28.26937793,253
2,Chitedze,ICGV.SM.09511,145.174821,70.73201272,118.5223027,32.53878118,254
2,Chitedze,ICGV.SM.10005,125.7893606,68.94347247,100.7095305,34.26899916,255
2,Chitedze,ICGV.SM.10008,123.7781938,48.15564987,54.05590473,36.32368284,256
2,Chitedze,ICGV.SM.10014,116.6575902,67.49347837,90.89938054,37.95203858,257
2,Chitedze,ICGV.SM.10021,147.7612418,70.13119403,118.3811236,44.19725032,258
2,Chitedze,ICGV.SM.10028,111.9534509,38.39211967,47.52236879,26.07582662,259
2,Chitedze,ICGV.SM.10031,101.1783879,7.896089131,22.21111736,28.34058861,260
2,Chitedze,ICGV.SM.10043,90.34007514,31.66631571,33.27312519,23.12245223,261
2,Chitedze,ICGV.SM.10044,66.97370958,12.69258405,14.75145033,20.43794468,262
2,Chitedze,ICGV.SM.15514,167.857569,68.22567465,116.8468579,25.72644019,263
2,Chitedze,ICGV.SM.15523,151.4259453,51.74347221,83.60314186,36.25988131,264
2,Chitedze,ICGV.SM.15537,100.4793527,10.3189039,26.34999321,21.53439867,265
2,Chitedze,ICGV.SM.15538,89.15734111,33.83637289,31.06361708,27.10457436,266
2,Chitedze,ICGV.SM.15542,95.43727191,12.90751334,29.76460315,22.40106435,267
2,Chitedze,ICGV.SM.15554,103.9143681,62.43014827,49.64979936,26.17595554,268
2,Chitedze,ICGV.SM.15557,104.2427559,23.72977734,36.20563874,22.84302985,269
2,Chitedze,ICGV.SM.15559,93.68105599,13.04758451,30.66302836,22.54820776,270
2,Chitedze,ICGV.SM.15562,95.91819508,16.76300399,27.32636107,22.40279363,271
2,Chitedze,ICGV.SM.15564,108.1741914,15.83569806,29.51532955,25.33117907,272
2,Chitedze,ICGV.SM.15567,104.6290416,62.12707178,62.5553426,26.6248105,273
2,Chitedze,ICGV.SM.15575,177.1543779,66.90618893,133.1193737,34.62682977,274
2,Chitedze,ICGV.SM.15576,181.3837362,63.12760981,131.4346595,35.52403504,275
2,Chitedze,ICGV.SM.15578,193.8534912,70.68310427,172.4558663,32.33937114,276
2,Chitedze,ICGV.SM.15579,158.3589782,70.63789961,141.0587493,36.68366812,277
2,Chitedze,ICGV.SM.15587,172.5718896,68.8630123,125.4539274,38.19574607,278
2,Chitedze,ICGV.SM.15592,151.410397,64.8144034,107.5689632,34.09491908,279
2,Chitedze,ICGV.SM.15593,152.9771781,67.32134889,115.637353,34.78553656,280
2,Chitedze,ICGV.SM.15598,169.5644893,62.0368078,110.3271642,34.07099108,281
2,Chitedze,ICGV.SM.15607,152.9280216,70.28255443,84.40837909,28.67991617,282
2,Chitedze,ICGV.SM.15611,170.8665181,70.88837424,105.7737695,37.57344537,283
2,Chitedze,ICGV.SM.15621,178.3204198,67.43150176,121.1546009,33.11457306,284
2,Chitedze,ICGV.SM.15622,141.9968233,68.43629727,101.2243971,31.37208571,285
2,Chitedze,ICGV.SM.15623,117.240656,68.95719968,60.61426826,29.06885843,286
2,Chitedze,ICGV.SM.15627,108.5638303,39.66536976,39.82376546,35.65323255,287
2,Chitedze,ICGV.SM.15631,172.5308794,58.1235035,104.4603524,35.46993677,288
2,Chitedze,ICGV.SM.16505,97.53533459,46.12213069,45.43867291,22.89957761,289
2,Chitedze,ICGV.SM.16514,127.2448557,73.36394436,103.6175599,25.39363876,290
2,Chitedze,ICGV.SM.16521,133.036446,70.87016347,101.1922076,23.07264255,291
2,Chitedze,ICGV.SM.16523,124.1190125,38.61397818,53.99788174,23.23405542,292
2,Chitedze,ICGV.SM.16527,151.4433424,55.03114893,93.92929957,22.30288617,293
2,Chitedze,ICGV.SM.16528,152.2958757,69.47919041,124.1640969,24.9321001,294
2,Chitedze,ICGV.SM.16529,117.1662545,35.61428356,42.24468982,29.56782142,295
2,Chitedze,ICGV.SM.16531,133.2116712,63.0997549,93.21595923,26.18666584,296
2,Chitedze,ICGV.SM.16554,95.41958962,64.58076022,58.81666903,29.8550039,297
2,Chitedze,ICGV.SM.16555,91.88211055,26.28179452,26.55227528,18.3300619,298
2,Chitedze,ICGV.SM.16556,93.44849687,12.62548935,27.3649218,24.40313881,299
2,Chitedze,ICGV.SM.16557,121.0597454,68.95604965,78.70289481,24.48098957,300
2,Chitedze,ICGV.SM.16558,104.6137726,13.94998911,29.2743231,35.96102184,301
