Env_Chitala Env_Chitedze Env_Nakabango Env_Serere
135.7839 -74.48035 -143.6799 -94.73961
138.9216 -71.57339 -140.1634 -93.24334
127.2313 -78.18173 -154.7665 -93.842
136.7729 -73.9619 -151.1264 -90.29899
143.9316 -72.42675 -147.0334 -88.97206
142.9558 -66.31151 -140.4806 -84.12013
137.7693 -66.83418 -138.112 -89.68404
138.5221 -75.87804 -135.8929 -89.57723
149.4653 -58.43099 -134.2353 -83.33518
160.5853 -45.19322 -120.5203 -59.10366
171.4029 -38.87477 -110.9967 -59.68549
172.0091 -41.62248 -109.9148 -61.62951
170.7911 -36.148 -115.9863 -57.76051
174.7803 -34.68529 -101.3362 -52.13633
168.4531 -38.06119 -105.468 -55.28586
177.7993 -28.15073 -96.49758 -43.89864
187.045 -23.71845 -84.92885 -40.31802
198.3481 -12.76973 -87.65787 -28.9385
200.7388 -8.805024 -71.37682 -30.24496
208.2301 -2.854687 -75.2732 -22.56546
207.9443 -8.276511 -73.83263 -23.01587
199.8855 -5.914137 -78.67832 -23.39585
204.6293 -6.507592 -70.40185 -30.84184
207.4986 -6.789542 -73.99767 -23.69063
205.0346 10.23444 -69.30564 -15.09954
214.8498 1.191997 -65.2327 -18.57281
209.4196 9.345296 -61.56682 -11.64874
227.3981 18.03797 -48.37295 -3.436646
231.523 22.34671 -51.64914 8.962251
244.7931 40.5479 -45.06676 15.90517
228.1072 16.94949 -51.63382 0.3290449
215.0166 -0.5587137 -59.33058 -8.357903
210.3846 3.804379 -70.29234 -15.01436
217.2767 14.87462 -61.70277 -1.759507
221.3964 14.30207 -60.00827 -9.566777
214.4773 4.016205 -70.80359 -17.31153
216.8763 5.798445 -63.44997 -8.71225
212.0853 6.643529 -71.15757 -5.663816
202.813 -0.1119692 -76.1405 -19.45332
200.6642 -5.499134 -74.73241 -25.75385
209.4548 0.1419114 -76.09272 -19.93605
209.4341 -0.5616299 -67.08924 -15.81215
207.8247 3.272639 -74.30989 -16.22411
203.6639 0.186429 -82.07657 -21.93799
205.9271 -4.900627 -71.22465 -24.18301
214.4505 2.962182 -75.32038 -20.97827
207.428 -8.826195 -70.32542 -19.7964
218.2374 1.943259 -66.37308 -13.18774
205.8366 -3.226788 -75.28149 -17.29056
203.596 -7.767943 -77.79476 -27.84031
203.7167 -3.234891 -80.56724 -25.57829
210.9552 0.2664394 -76.03967 -13.4129
217.9783 0.0847683 -67.03972 -11.95729
222.24 6.090867 -69.00279 -13.72396
222.8314 14.43064 -63.5005 1.233056
213.8981 7.5046 -63.03778 -10.78466
218.6588 2.749658 -63.4974 -11.37395
221.0706 10.19788 -60.27592 -12.76361
226.7287 21.4588 -49.06667 3.256901
223.2144 10.88367 -54.67365 -7.468968
223.2118 20.58245 -52.7703 -0.6416477
244.6213 32.90245 -46.63861 16.71963
233.4479 21.61352 -51.14197 0.4353506
244.3212 24.96958 -43.43594 3.737739
238.7575 33.59879 -39.00756 8.179787
235.9051 25.8992 -46.95219 8.955056
220.8696 12.72001 -54.01292 -6.10402
208.2854 2.1243 -64.72301 -16.00743
199.7623 -12.3224 -82.42577 -26.95714
205.8226 -14.5001 -81.91861 -29.24336
199.8122 -13.52559 -82.45817 -36.28061
174.2991 -27.84666 -97.73928 -46.20156
187.4537 -26.13453 -90.84945 -41.01767
185.4941 -23.38636 -94.90066 -43.69604
193.3241 -20.04641 -95.25894 -41.85142
197.2479 -12.51821 -90.69956 -27.13726
201.9171 -7.076172 -76.72277 -33.22504
209.7998 -0.7429041 -72.2149 -16.57404
205.3397 -1.920519 -75.26243 -23.52429
202.8302 -3.257663 -74.68705 -21.17475
192.4078 -13.48034 -89.73804 -32.35596
204.1224 -9.279234 -76.47772 -21.06428
189.6047 -16.86384 -95.93486 -33.40474
194.4284 -20.08324 -82.71759 -33.03858
178.1062 -23.49871 -102.6585 -39.20043
184.2372 -32.97371 -103.5671 -45.8878
180.4534 -34.60074 -100.5568 -49.78442
181.1818 -26.02195 -96.32982 -40.58629
190.1971 -21.68525 -96.57517 -40.02423
195.086 -10.23567 -81.85636 -33.85794
200.3865 -8.43099 -74.7109 -31.04331
209.2111 -0.0580795 -69.49307 -21.175
204.5628 -0.739029 -67.66678 -17.82775
213.0576 3.530381 -67.54502 -9.90789
213.7801 5.451692 -67.44572 -10.43697
207.9514 -4.93745 -76.26089 -29.38742
212.3882 -1.965272 -73.23941 -19.70623
205.8007 1.408446 -78.26179 -23.18896
206.6827 -4.804466 -75.02286 -19.78515
203.7973 -6.187509 -68.83022 -16.54345
206.2007 -0.5698896 -75.8856 -19.17993
211.3093 -0.1673461 -67.11647 -14.41052
223.3804 12.10014 -58.2368 -4.990025
223.0266 14.66204 -56.61261 -5.530217
230.8763 21.12813 -44.47161 6.140886
235.9743 26.05302 -50.49793 5.657708
237.0509 27.15071 -44.84631 9.287597
245.6096 36.76627 -30.9988 17.51895
255.0919 49.88794 -31.49998 28.36039
260.5883 53.20526 -17.50251 33.70518
258.8533 46.79185 -23.31372 31.82677
257.7916 50.55794 -19.29798 27.95058
263.1511 49.83562 -19.86257 37.31581
263.966 55.58546 -17.50288 39.76291
255.9547 42.88337 -25.79432 32.50156
262.8908 54.79842 -13.36414 34.20685
268.0385 62.14374 -8.474276 40.47157
265.1272 55.64477 -9.975415 39.94226
267.4992 44.86515 -15.39332 34.44386
284.4053 72.34831 -0.2912689 58.01885
278.6777 72.00569 5.770266 50.42416
281.0793 74.68136 7.331423 52.86372
281.8751 63.58861 -2.990352 47.76519
286.2945 62.04669 0.5631769 52.65133
285.251 75.01581 7.036015 56.8513
276.117 69.9803 -5.39787 50.05645
280.5597 69.52335 -4.56533 47.32164
274.9903 65.35809 -2.38843 49.58892
264.4786 52.52614 -14.91931 39.49271
253.1267 44.15927 -26.52613 20.69322
241.9947 30.47468 -27.35973 17.81215
249.0008 40.59915 -27.71645 20.93771
254.6886 44.22633 -28.42121 27.08483
248.342 42.93445 -34.32992 22.85296
252.5176 47.87153 -21.87425 28.42484
262.157 51.47673 -17.15442 33.65993
261.6564 54.75487 -16.56248 36.00051
252.8622 50.04939 -23.36081 27.15455
256.6466 55.94896 -21.05729 31.43892
249.3241 45.21832 -22.97495 21.46988
256.2141 47.73487 -21.02301 30.34131
252.1483 50.6388 -25.59117 28.51355
251.2029 47.03344 -29.9142 24.84496
244.7213 43.95313 -31.31519 29.74981
261.4577 51.51933 -19.63079 31.61887
257.5401 49.54367 -20.37015 28.24647
258.6496 46.99895 -18.90971 29.4935
251.805 46.9455 -25.68426 31.64711
264.3005 53.39705 -17.45263 33.26638
266.6711 58.44625 -18.34495 34.24608
262.0983 61.53203 -11.57796 39.20029
260.2831 60.0054 -14.55758 37.40602
268.4455 55.09184 -18.59851 33.49941
266.8074 58.66617 -23.2212 30.83234
266.5683 58.76327 -19.15592 33.35943
255.2075 50.05162 -19.19528 35.52189
262.1935 53.52868 -14.5153 30.59052
265.2942 53.74431 -18.02318 36.96139
257.1421 45.51485 -26.70422 31.70136
262.0297 49.75662 -19.50255 35.41274
266.4445 62.46574 -16.29044 37.11019
269.0537 53.13253 -16.75624 34.81568
272.2966 59.08233 -4.401309 44.5287
274.764 62.64509 -5.382009 44.62514
268.0737 62.56321 -8.825777 44.86769
274.3426 63.81865 -13.13804 45.22975
288.0594 76.5372 11.85519 60.50104
283.623 75.21043 5.482117 58.23538
306.3229 92.71364 21.847 70.40272
296.0056 93.67384 22.29696 79.73729
304.5746 100.6115 21.9641 68.55729
311.4364 108.0944 38.39735 82.37757
299.3296 93.05778 24.73705 75.84242
309.6266 84.69592 17.8592 70.14896
296.6894 88.70238 22.05419 71.51733
290.9342 80.42817 9.150139 59.24193
281.7847 82.42555 8.481325 61.71715
301.7189 81.59535 10.71741 70.62078
301.3285 85.23177 15.41061 63.72884
304.0016 86.3049 23.54831 69.1489
310.7886 105.7274 30.86068 83.18928
306.8181 103.5205 36.68448 88.48099
320.936 113.7339 42.69687 93.01324
328.8716 117.0127 43.77924 89.96007
307.216 107.7925 27.9572 85.97139
321.7719 110.6829 31.0355 89.7686
308.2088 99.73238 32.06694 84.48493
310.6276 97.58065 25.9775 83.23131
312.5165 103.4219 32.33743 89.89684
318.2172 108.9493 37.03437 97.12937
313.2467 107.0289 37.93233 87.24508
308.8835 91.98326 28.7554 84.66195
311.7946 101.1118 37.38708 90.7906
320.6216 115.223 41.55123 93.73092
327.6779 118.4799 42.14936 96.47373
332.1791 127.8563 53.05735 102.5356
335.2709 126.7356 59.0611 107.5524
344.8018 132.8406 57.52557 113.8596
334.8548 128.7145 60.18813 110.2422
345.702 132.6347 67.17053 126.2587
348.8516 136.5192 65.72754 121.6294
347.3694 135.4008 69.48578 114.6141
358.045 137.7811 70.55277 128.1867
345.1396 133.9283 65.23577 121.4877
335.3547 130.1049 55.00337 112.7474
332.262 126.6179 58.4812 110.1906
327.7439 119.4407 58.67958 104.1649
342.6341 133.4858 60.74922 111.8037
349.1877 132.9834 63.49798 122.9468
354.0453 145.1627 76.95394 132.0432
355.0871 143.818 75.05137 126.4557
345.8957 136.7386 71.29456 119.4619
354.3381 142.1296 71.54768 125.5242
350.3147 139.2013 70.81438 115.5441
350.9839 138.0123 66.15983 121.9449
